id,categories,price (CHF),latitude,longitude,city,living_space (m2),num_rooms,floor,num_floors,year_built,is_new_building,is_old_building,year_last_renovated,street,postal_code
4001808482,"['APARTMENT', 'FLAT']",2030.0,47.544604341278,7.574456661996,Basel,69.0,3.5,,5.0,1945.0,,True,2020.0,Holeestrasse 10,4054
4001750179,"['APARTMENT', 'DUPLEX']",7860.0,47.556324341277,7.587248661992,Basel,200.0,5.5,2.0,3.0,,,True,2024.0,Unterer Heuberg 15,4051
4001750180,"['APARTMENT', 'FLAT']",3580.0,47.553728341279,7.586079661991,Basel,81.0,4.0,1.0,,,,True,2024.0,Unterer Heuberg 15,4051
4001668319,"['APARTMENT', 'FLAT']",3290.0,47.569773341274,7.603459661996,Basel,95.0,4.5,3.0,,,True,,,Erlenmattstr. 83,4058
4001668318,"['APARTMENT', 'FLAT']",3980.0,47.569773341274,7.603459661996,Basel,130.0,5.5,1.0,,,True,,,Erlenmattstr. 83,4058
4001668316,"['APARTMENT', 'FLAT']",3320.0,47.570094341277,7.602774661991,Basel,108.0,2.0,,,,True,,,Erlenmattstr. 65,4058
4001410291,"['APARTMENT', 'FLAT']",1920.0,47.544964341273,7.592966661993,Basel,27.0,2.0,,,,,,2024.0,Hochstrasse 16,4053
4001754409,"['APARTMENT', 'FLAT']",4070.0,47.570194341278,7.602599661999,Basel,140.0,5.5,2.0,,,True,,,Erlenmattstr. 67,4058
4001811090,"['APARTMENT', 'FLAT']",1640.0,47.554124341273,7.612524661995,Basel,78.0,3.5,2.0,,,,,2022.0,Froburgstrasse 49,4052
4001750206,"['APARTMENT', 'FLAT']",2940.0,47.553728341279,7.586079661991,Basel,61.0,3.0,,,,,True,2024.0,Unterer Heuberg 15,4051
4001773647,"['APARTMENT', 'STUDIO']",1920.0,47.578815341271,7.595924661997,Basel,26.0,2.0,,,2022.0,,,2024.0,Badenstrasse 1,4057
4001699452,"['APARTMENT', 'FLAT']",2190.0,47.578815341271,7.595924661997,Basel,39.0,2.5,,,2022.0,,,2024.0,Badenstrasse 1,4057
4001689593,"['APARTMENT', 'FLAT']",2570.0,47.578815341271,7.595924661997,Basel,62.0,3.5,,,2022.0,,,2024.0,Badenstrasse 1,4057
4001780488,"['APARTMENT', 'FLAT']",350.0,47.566754341277,7.605524661994,Basel,24.0,2.0,,,2024.0,,,2024.0,Auf den Fiechten 4,4058
4001604896,"['APARTMENT', 'FLAT']",2860.0,47.562004341275,7.593688661993,Basel,130.0,4.5,3.0,,1953.0,,,1991.0,"Claraplatz 2, 3",4058
4001786397,"['APARTMENT', 'FLAT']",,47.550400341273,7.590134661997,Basel,55.0,3.5,6.0,,2025.0,,,,Wallstrasse 5,4051
4001756777,"['APARTMENT', 'DUPLEX']",2570.0,47.562404341271,7.591957661999,Basel,97.0,3.0,3.0,2.0,,,,,Webergasse 35,4058
4001743347,"['APARTMENT', 'FLAT']",3410.0,47.552483341271,7.599155661997,Basel,111.0,4.5,4.0,,1994.0,,,,St. Alban-Anlage 27,4052
4001605448,"['APARTMENT', 'LOFT']",2860.0,47.570064341275,7.601248661995,Basel,113.0,2.5,,,2009.0,,,,Erlenmattstrasse 24,4058
4001798803,"['APARTMENT', 'FLAT']",3700.0,47.570764341274,7.612048661992,Basel,130.0,5.5,12.0,,,,,2025.0,Schorenweg 30,4058
4001791095,"['APARTMENT', 'FLAT']",2780.0,47.550004341279,7.581449661991,Basel,97.0,4.5,1.0,,1965.0,,,2007.0,Pelikanweg 4,4054
4001605449,"['APARTMENT', 'FLAT']",2730.0,47.569654341279,7.601004661993,Basel,113.0,3.0,,,2009.0,,,,Erlenmattstrasse 12,4058
4001812968,['APARTMENT'],3260.0,47.570574341279,7.591804661997,Basel,101.0,5.5,4.0,,,,,,Horburgstrasse 28,4057
4001812957,['APARTMENT'],3210.0,47.570574341279,7.591804661997,Basel,93.0,5.5,4.0,,,,,,Horburgstrasse 26,4057
4001798508,"['APARTMENT', 'FLAT']",1410.0,47.545354341275,7.620084661993,Basel,44.0,2.5,8.0,,1960.0,,,2002.0,Lehenmattstr. 308,4052
4001793368,"['APARTMENT', 'FLAT']",2090.0,47.549204341275,7.580423661999,Basel,80.0,3.0,,,,,,,Birsigstrasse 81,4054
4001766071,"['APARTMENT', 'FLAT']",3310.0,47.571404341273,7.612294661994,Basel,97.0,4.5,4.0,,2016.0,True,,,Schorenweg 38,4058
4001764747,"['APARTMENT', 'FLAT']",2180.0,47.571724341272,7.599124661998,Basel,64.0,3.5,2.0,,2015.0,True,,,Tangentenweg 46,4058
4001761552,"['APARTMENT', 'FLAT']",2010.0,47.569198341276,7.594385661992,Basel,52.0,3.0,3.0,,,,,,Amerbachstrasse 66,4057
4001753099,"['APARTMENT', 'FLAT']",2550.0,47.557667341273,7.575364661991,Basel,92.0,4.5,5.0,,1962.0,,,,Spalenring 95,4055
4000976400,"['APARTMENT', 'FLAT']",1940.0,47.569198341276,7.594385661992,Basel,43.0,3.0,,,,,,2018.0,Amerbachstrasse 64,4057
4001764745,"['APARTMENT', 'FLAT']",2510.0,47.571644341279,7.599794661992,Basel,78.0,4.5,1.0,,2015.0,True,,,Erlkönigweg 27,4058
4001764744,"['APARTMENT', 'FLAT']",2580.0,47.571143341274,7.599815661999,Basel,78.0,4.5,3.0,,2015.0,True,,,Erlkönigweg 23,4058
4001760529,"['APARTMENT', 'FLAT']",2760.0,47.547085341275,7.609828661991,Basel,72.0,3.5,2.0,,2024.0,,,2024.0,Adlerstrasse 30,4052
4001749896,"['APARTMENT', 'FLAT']",2200.0,47.572936341275,7.577126661999,Basel,53.0,3.0,1.0,,,,,,Kraftstrasse 25,4056
4001741636,"['APARTMENT', 'FLAT']",3090.0,47.554685341278,7.570406661992,Basel,81.0,4.5,3.0,,2024.0,,,,Sennheimerstrasse 52,4054
4001776482,"['APARTMENT', 'FLAT']",4860.0,47.550804341271,7.599934661998,Basel,160.0,5.5,5.0,,1958.0,,,,Lange Gasse 32,4052
4001766096,"['APARTMENT', 'FLAT']",1780.0,47.562664341276,7.563653661994,Basel,71.0,3.0,1.0,,1952.0,,True,2009.0,Wasgenring 56,4055
4001744000,"['APARTMENT', 'FLAT']",4140.0,47.550524341275,7.600394661993,Basel,140.0,4.5,1.0,,1982.0,,,,Engelgasse 45,4052
4001730858,"['APARTMENT', 'FLAT']",3650.0,47.571824341276,7.597546661991,Basel,160.0,5.5,3.0,,2011.0,,,,Horburgstrasse 118,4057
4001730857,"['APARTMENT', 'FLAT']",4660.0,47.550804341271,7.599934661998,Basel,180.0,5.5,1.0,,1958.0,,,,Lange Gasse 32,4052
4001776483,"['APARTMENT', 'FLAT']",2110.0,47.541204341271,7.602140661999,Basel,67.0,3.5,2.0,,1978.0,,,,Reinacherstrasse 22,4053
4001766084,"['APARTMENT', 'FLAT']",2280.0,47.569274341271,7.568125661994,Basel,86.0,4.0,1.0,,1957.0,,True,,Luzernerring 72,4056
4001766083,"['APARTMENT', 'FLAT']",1850.0,47.569024341271,7.568296661991,Basel,63.0,3.0,1.0,,1957.0,,True,,Luzernerring 68,4056
4001766070,"['APARTMENT', 'FLAT']",2720.0,47.545004341274,7.575674661991,Basel,105.0,4.0,5.0,,1943.0,,True,2010.0,Oberwilerstrasse 153,4054
4001764740,"['APARTMENT', 'FLAT']",2500.0,47.546023341279,7.585977661993,Basel,84.0,4.0,2.0,,1958.0,,True,1996.0,Güterstrasse 92,4053
4001758235,"['APARTMENT', 'FLAT']",1730.0,47.568565341276,7.601353661994,Basel,63.0,3.0,2.0,,1981.0,,,,Erlenstrasse 50,4058
4001664463,"['APARTMENT', 'FLAT']",2650.0,47.546148341275,7.586159661991,Basel,109.0,4.5,4.0,,1981.0,,,,Güterstrasse 99,4053
4001732293,"['APARTMENT', 'FLAT']",2720.0,47.544965341271,7.581979661999,Basel,86.0,4.0,,,1932.0,,True,2020.0,Margarethenstrasse 82,4053
4001704876,"['APARTMENT', 'FLAT']",6820.0,47.553728341279,7.586079661991,Basel,190.0,5.5,2.0,,,,True,2023.0,Totentanz,4051
4001687224,"['APARTMENT', 'FLAT']",2770.0,47.542704341276,7.600025661999,Basel,80.0,4.5,3.0,,1976.0,,,2019.0,Laufenstrasse 4,4053
4001664600,"['APARTMENT', 'LOFT']",3540.0,47.537385341277,7.608473661999,Basel,104.0,2.0,4.0,,2023.0,,,,Münchensteinerstrasse 117,4053
4001492609,"['APARTMENT', 'APARTMENT']",3770.0,47.558647341272,7.585877661995,Basel,140.0,5.0,3.0,,1345.0,,True,2024.0,Totengässlein 5,4051
4001791133,"['APARTMENT', 'FLAT']",4150.0,47.558054341276,7.577846661997,Basel,180.0,5.5,,,1983.0,,,,Birmannsgasse 14,4055
4001788191,"['APARTMENT', 'FLAT']",2260.0,47.560704341273,7.572464661992,Basel,76.0,3.5,2.0,,1961.0,,,,Colmarerstrasse 31,4055
4001776481,"['APARTMENT', 'FLAT']",2820.0,47.541036341273,7.601079661992,Basel,130.0,4.0,4.0,,1976.0,,,,Güterstrasse 309,4053
4001766078,"['APARTMENT', 'FLAT']",2770.0,47.552193341275,7.592425661992,Basel,75.0,3.5,2.0,,2010.0,,,,Henric Petri-Strasse 11,4051
4001732315,"['APARTMENT', 'FLAT']",2700.0,47.544604341278,7.574456661996,Basel,97.0,4.5,3.0,4.0,1932.0,,True,2018.0,Holeestrasse 10,4054
4001726570,"['APARTMENT', 'FLAT']",1240.0,47.578704341273,7.594050661996,Basel,47.0,2.0,4.0,,1927.0,,,2024.0,Wiesendamm 74,4057
4001668776,['HOBBY_ROOM'],,47.579424341277,7.597083661998,Basel,,,2.0,,,,,,Hochbergerstrasse 60F,4057
4001816282,"['APARTMENT', 'TERRACE_FLAT']",2260.0,47.556564341279,7.571743661999,Basel,,3.5,,,,,,,Allschwilerstrasse 59,4055
4001732071,"['APARTMENT', 'FLAT']",2910.0,47.540324341279,7.599396661994,Basel,83.0,4.0,2.0,,1908.0,,True,2015.0,Delsbergerallee 60,4053
4001816280,"['APARTMENT', 'TERRACE_FLAT']",2020.0,47.556564341279,7.571743661999,Basel,,2.5,,,,,,,Allschwilerstrasse 59,4055
4001773913,"['APARTMENT', 'FLAT']",2020.0,47.542704341276,7.600025661999,Basel,59.0,3.0,2.0,,1976.0,,,2019.0,Laufenstrasse 4,4053
4001338775,"['APARTMENT', 'FLAT']",3070.0,47.542489341271,7.599785661995,Basel,89.0,4.5,2.0,,1976.0,,,2019.0,Laufenstrasse 8,4053
4001816281,['CELLAR_COMPARTMENT'],1370.0,47.556564341279,7.571743661999,Basel,,,-1.0,,,,,,Allschwilerstrasse 59,4055
4001797719,"['APARTMENT', 'FLAT']",2670.0,47.549874341276,7.621369661996,Basel,100.0,4.0,,,,,,,Lehenmattstrasse 197,4052
4000904319,"['APARTMENT', 'FLAT']",4760.0,47.551686341271,7.606263661992,Basel,190.0,6.0,2.0,,,,,1994.0,Lindenweg 5,4052
4001824512,"['APARTMENT', 'FLAT']",2740.0,47.566294341274,7.577970661992,Basel,108.0,5.0,5.0,,1961.0,,,1997.0,Vogesenstrasse 31,4056
4001799182,"['APARTMENT', 'DUPLEX']",3950.0,47.543854341275,7.582240661992,Basel,130.0,3.5,4.0,2.0,1910.0,,True,2024.0,Gundeldingerstrasse 65,4053
4001786643,"['APARTMENT', 'FLAT']",,47.550739341276,7.588227661996,Basel,36.0,2.5,2.0,,2025.0,,,,Bollwerk-Promenade 5,4051
4001684611,"['APARTMENT', 'FLAT']",3420.0,47.555384341275,7.588705661992,Basel,110.0,2.5,2.0,,1863.0,True,,,Gerbergasse 70,4001
4001635439,['APARTMENT'],3090.0,47.570464341276,7.611156661995,Basel,93.0,4.5,10.0,16.0,,True,,2025.0,Schorenweg 30 + 32,4058
4001532471,"['APARTMENT', 'FLAT']",2970.0,47.571227341279,7.575163661997,Basel,99.0,4.5,2.0,,2010.0,,,,Lothringerplatz 2,4056
4001819872,"['APARTMENT', 'FLAT']",2420.0,47.546604341276,7.584964661991,Basel,86.0,4.0,,5.0,,,,,Güterstrasse 79,4053
4001818747,"['APARTMENT', 'FLAT']",2330.0,47.570074341279,7.603559661998,Basel,69.0,3.5,3.0,,,True,,,Erlenmattstr. 79,4058
4001810898,"['APARTMENT', 'FLAT']",3290.0,47.544614341271,7.589607661991,Basel,130.0,5.5,3.0,,1968.0,,,,Güterstrasse 144,4053
4001807312,"['APARTMENT', 'DUPLEX']",2430.0,47.567155341277,7.595053661994,Basel,67.0,3.5,4.0,,,,,,Hammerstrasse 129,4057
4001807310,"['APARTMENT', 'ATTIC_FLAT']",3330.0,47.567155341277,7.595053661994,Basel,88.0,4.5,5.0,,,,,,Hammerstrasse 129,4057
